name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Der Grrr,9776268,,,0,0,SpaceAgeJupiterMoon,247753398,70217
schwarzer Bauer,7819203,Schwarze zukunft,25453,-628570,1,SpaceAgeSpaceHub,247520533,51305
Dany der Löwe,6587947,Meeresabenteuer,2824,1233272,204,SpaceAgeAsteroidBelt,247520296,57140
Birgit 1 2,2671757,Frei und Freundlich,11817,392745,0,SpaceAgeAsteroidBelt,247169807,42056
Aschebecher,849039594,InsiderZ (IZ) 🕊️,20220,123930,0,ArcticFuture,246729190,121952
Centaur123,10417653,Last Girl Standing,22058,0,0,SpaceAgeTitan,246628467,50903
Timtifax,6810625,,,0,0,SpaceAgeTitan,246391111,27744
AGA2811,2443785,Wirsindwiederda,18235,642842,8,SpaceAgeSpaceHub,246044886,48124
Keppetzki1,10323170,DIE PFLICHTLOSEN,218,0,0,SpaceAgeTitan,245819102,24112
Eurydike 2539 die Geißel,10275623,Gapemen,25355,0,0,SpaceAgeSpaceHub,245788200,27204
ikernel,8052649,,,0,0,FutureEra,245699434,166592
Rachsüchtige,850603974,,,0,0,FutureEra,245672314,176177
fred türk,2284042,Von der Insel,8427,362155,0,OceanicFuture,245498656,45107
De Dithmarscher 2,851832307,Einfach so nebenbei,10010,293667,71,VirtualFuture,245461064,120549
Staphylococcus,5006302,Neu-Drachenfels,11825,208255,46,ModernEra,245184269,236413
coroq,10463977,Heldenlounge,15873,0,0,SpaceAgeSpaceHub,245122952,50740
